no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
2,0,2,5,Meal Plan 1,0,Room_Type 2,62,2019,5,8,Online,0,0,0,136.22,0,Canceled
2,0,1,0,Not Selected,0,Room_Type 1,199,2018,8,28,Online,0,0,0,85.5,0,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,36,2017,10,13,Offline,0,0,0,75.6,0,Not_Canceled
1,0,3,5,Meal Plan 1,0,Room_Type 1,10,2018,5,29,Corporate,0,0,0,110,0,Not_Canceled
3,0,0,3,Meal Plan 1,0,Room_Type 4,144,2018,8,24,Online,0,0,0,131.7,0,Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 4,27,2019,5,8,Online,0,0,0,179,1,Canceled
2,0,0,3,Not Selected,0,Room_Type 1,44,2018,10,20,Online,0,0,0,113.7,1,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,73,2018,6,9,Online,0,0,0,126.9,1,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,42,2018,10,2,Online,0,0,0,97.02,1,Not_Canceled
3,0,1,2,Meal Plan 1,0,Room_Type 4,46,2019,3,20,Online,0,0,0,142.2,0,Canceled
2,0,0,2,Not Selected,0,Room_Type 1,53,2017,12,29,Online,0,0,0,81,1,Not_Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 4,42,2018,8,25,Online,0,0,0,140.58,0,Not_Canceled
2,0,2,0,Meal Plan 2,0,Room_Type 1,386,2018,10,23,Online,0,0,0,115,1,Canceled
2,2,1,3,Meal Plan 1,0,Room_Type 2,179,2019,4,10,Online,0,0,0,206.1,0,Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,35,2019,5,1,Offline,0,0,0,99,0,Not_Canceled
2,0,0,1,Not Selected,0,Room_Type 1,32,2019,5,26,Online,0,0,0,160,0,Canceled
3,0,2,2,Meal Plan 1,1,Room_Type 4,44,2018,3,20,Online,0,0,0,134.93,1,Not_Canceled
3,0,1,3,Meal Plan 1,0,Room_Type 4,88,2018,10,10,Online,0,0,0,151.2,0,Canceled
2,0,1,1,Not Selected,0,Room_Type 1,224,2019,6,3,Online,0,0,0,107.1,1,Canceled
2,0,0,1,Not Selected,0,Room_Type 1,0,2018,7,23,Online,0,0,0,103.32,1,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,6,2017,9,24,Offline,0,0,0,77,0,Not_Canceled
2,0,1,2,Not Selected,0,Room_Type 1,66,2018,9,2,Online,0,0,0,87.3,1,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,26,2018,6,11,Offline,0,0,0,95,0,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,14,2019,5,3,Online,0,0,0,140,2,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,257,2017,7,1,Online,0,0,0,101.5,0,Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 1,32,2017,10,5,Online,0,0,0,97.92,2,Not_Canceled
1,0,1,0,Meal Plan 1,0,Room_Type 1,5,2019,5,29,Online,0,0,0,94,0,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 4,118,2019,5,18,Online,0,0,0,135,0,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,23,2018,12,16,Online,0,0,0,104,0,Not_Canceled
2,0,0,3,Not Selected,0,Room_Type 1,194,2019,8,3,Online,0,0,0,116.67,3,Not_Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 1,33,2018,1,25,Corporate,0,0,0,64,0,Not_Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,245,2019,4,16,Online,0,0,0,109.8,0,Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 1,26,2019,5,22,Online,0,0,0,128,0,Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,164,2018,5,2,Online,0,0,0,99.45,0,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,6,3,Online,0,0,0,120,0,Not_Canceled
3,0,2,5,Meal Plan 1,0,Room_Type 4,184,2019,8,17,Online,0,0,0,164.44,0,Canceled
1,0,2,1,Not Selected,0,Room_Type 1,10,2018,6,26,Online,0,0,0,112.33,1,Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,124,2018,4,14,Online,0,0,0,87.55,0,Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,114,2019,5,14,Offline,0,0,0,85,0,Not_Canceled
1,0,0,2,Not Selected,0,Room_Type 1,138,2018,11,25,Online,0,0,0,79.2,1,Not_Canceled
2,0,2,2,Meal Plan 2,0,Room_Type 1,31,2019,3,19,Online,0,0,0,90.78,0,Not_Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 1,72,2018,11,12,Online,0,0,0,95.4,0,Canceled
2,2,2,5,Meal Plan 1,0,Room_Type 6,214,2019,4,8,Online,0,0,0,189,1,Canceled
2,0,2,5,Not Selected,0,Room_Type 1,36,2018,3,8,Online,0,0,0,71.1,0,Canceled
2,0,1,4,Not Selected,0,Room_Type 1,29,2019,2,13,Online,0,0,0,74.8,0,Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,81,2019,3,17,Online,0,0,0,97.2,1,Not_Canceled
2,0,0,3,Not Selected,0,Room_Type 1,203,2018,9,27,Online,0,0,0,116.1,0,Canceled
2,1,1,3,Meal Plan 1,0,Room_Type 1,12,2018,10,31,Online,0,0,0,129.25,2,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,139,2019,5,24,Online,0,0,0,128,1,Not_Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 1,94,2019,4,11,Online,0,0,0,88.88,1,Not_Canceled
2,0,1,1,Not Selected,0,Room_Type 1,22,2018,3,21,Online,0,0,0,129,0,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,54,2019,1,18,Offline,0,0,0,65,0,Not_Canceled
1,0,0,2,Not Selected,0,Room_Type 1,44,2019,7,5,Online,0,0,0,134.5,1,Not_Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 1,190,2018,4,9,Offline,0,0,0,70,1,Not_Canceled
2,2,0,4,Meal Plan 1,0,Room_Type 5,111,2018,5,4,Online,0,0,0,122.1,1,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,12,2017,9,9,Online,0,0,0,80.85,2,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,56,2019,3,21,Offline,0,0,0,85,0,Not_Canceled
2,0,0,3,Not Selected,0,Room_Type 1,44,2018,3,9,Online,0,0,0,71.1,1,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,137,2019,6,23,Online,0,0,0,125,0,Canceled
1,0,3,7,Meal Plan 1,0,Room_Type 4,17,2018,2,19,Online,0,0,0,107.7,1,Canceled
3,1,1,2,Meal Plan 1,0,Room_Type 7,150,2019,8,21,Online,0,0,0,257,0,Canceled
2,0,2,5,Meal Plan 1,0,Room_Type 1,0,2018,1,10,Online,1,0,1,41.84,1,Not_Canceled
2,2,1,1,Meal Plan 1,0,Room_Type 2,249,2018,8,27,Online,0,0,0,86.62,1,Canceled
2,1,2,3,Meal Plan 1,0,Room_Type 1,52,2019,1,21,Online,0,0,0,78.15,2,Not_Canceled
2,0,1,3,Not Selected,0,Room_Type 1,52,2019,5,1,Online,0,0,0,126,0,Canceled
2,0,1,1,Not Selected,0,Room_Type 1,25,2018,11,14,Online,0,0,0,88,0,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 5,11,2019,4,14,Online,0,0,0,210,1,Canceled
2,0,1,3,Meal Plan 2,0,Room_Type 4,143,2018,8,25,Offline,0,0,0,112.45,0,Not_Canceled
2,0,1,4,Not Selected,0,Room_Type 1,136,2019,5,1,Online,0,0,0,108,0,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,259,2018,5,5,Online,0,0,0,90,0,Canceled
2,0,0,0,Meal Plan 1,0,Room_Type 1,12,2018,8,16,Online,0,0,0,0,1,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,105,2019,5,19,Online,0,0,0,160,0,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,1,2017,12,31,Online,0,0,0,135,1,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,35,2018,9,5,Online,0,0,0,110.16,0,Not_Canceled
2,0,1,0,Not Selected,0,Room_Type 1,59,2019,4,16,Online,0,0,0,108,0,Not_Canceled
2,0,0,5,Meal Plan 1,0,Room_Type 1,140,2017,12,29,Offline,0,0,0,70,0,Not_Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 4,68,2019,7,24,Online,0,0,0,115.2,1,Not_Canceled
2,0,1,0,Meal Plan 1,0,Room_Type 1,2,2018,5,30,Online,0,0,0,131,0,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,76,2017,7,7,Online,0,0,0,76.5,1,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,186,2019,7,22,Offline,0,0,0,89,1,Not_Canceled
1,0,0,3,Not Selected,0,Room_Type 1,110,2018,11,2,Online,0,0,0,85.87,1,Not_Canceled
2,0,1,4,Meal Plan 2,0,Room_Type 1,26,2018,4,18,Offline,0,0,0,133.8,0,Not_Canceled
2,0,1,0,Not Selected,0,Room_Type 1,57,2018,7,18,Online,0,0,0,84.6,0,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,87,2018,10,23,Offline,0,0,0,80.75,1,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,145,2018,1,3,Offline,0,0,0,65,0,Not_Canceled
1,1,1,3,Not Selected,0,Room_Type 1,92,2018,6,20,Online,0,0,0,81.95,1,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,216,2018,8,27,Online,0,0,0,96.3,2,Not_Canceled
2,0,0,1,Meal Plan 1,1,Room_Type 1,1,2018,2,19,Corporate,0,0,0,91,0,Not_Canceled
1,0,1,0,Meal Plan 1,0,Room_Type 1,6,2017,10,12,Corporate,0,0,0,65,0,Not_Canceled
2,0,2,5,Not Selected,0,Room_Type 1,152,2018,8,20,Online,0,0,0,91.93,0,Canceled
1,0,2,1,Meal Plan 1,0,Room_Type 1,4,2018,9,18,Online,0,0,0,130.4,0,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,433,2018,9,8,Online,0,0,0,70,0,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,94,2019,8,15,Online,0,0,0,145,2,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,213,2018,6,7,Online,0,0,0,130,0,Canceled
2,1,1,2,Meal Plan 1,0,Room_Type 6,64,2018,11,18,Online,0,0,0,162.4,1,Not_Canceled
3,0,2,5,Not Selected,0,Room_Type 1,179,2019,7,25,Offline,0,0,0,93.6,1,Not_Canceled
2,0,2,5,Meal Plan 1,0,Room_Type 1,83,2017,7,6,Online,0,0,0,76.5,1,Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 1,40,2018,11,2,Offline,0,0,0,75,1,Not_Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,173,2019,2,12,Online,0,0,0,88.4,1,Canceled
2,0,1,0,Meal Plan 1,0,Room_Type 2,198,2018,7,17,Online,0,0,0,86.75,0,Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 4,86,2018,8,4,Online,0,0,0,82.45,0,Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 4,115,2018,5,2,Offline,0,0,0,90.95,1,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,410,2019,5,9,Online,0,0,0,90,0,Canceled
2,0,2,2,Not Selected,0,Room_Type 1,6,2019,7,15,Online,0,0,0,101,1,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,265,2018,6,24,Online,0,0,0,115,1,Canceled
2,0,0,1,Meal Plan 2,0,Room_Type 1,40,2018,7,26,Offline,0,0,0,125,1,Not_Canceled
2,0,0,3,Meal Plan 2,0,Room_Type 1,90,2018,7,13,Offline,0,0,0,102.25,1,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,113,2018,9,14,Online,0,0,0,129.6,0,Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,46,2018,10,30,Offline,0,0,0,75,0,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,15,2019,2,14,Online,0,0,0,98,0,Canceled
2,1,0,4,Meal Plan 1,0,Room_Type 4,187,2019,5,24,Online,0,0,0,138.83,2,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 4,357,2019,7,26,Online,0,0,0,134,2,Canceled
2,1,2,3,Meal Plan 1,0,Room_Type 1,171,2019,7,16,Offline,0,0,0,93.6,1,Not_Canceled
2,0,0,2,Not Selected,0,Room_Type 1,53,2018,11,11,Online,0,0,0,79.2,2,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,10,2017,8,24,Online,0,0,0,90,2,Not_Canceled
1,0,2,1,Meal Plan 2,0,Room_Type 1,138,2017,8,22,Offline,0,0,0,72.5,0,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,153,2018,12,10,Online,0,0,0,90,1,Not_Canceled
2,0,1,2,Meal Plan 1,1,Room_Type 1,43,2018,2,26,Online,0,0,0,88.5,1,Not_Canceled
2,0,0,3,Not Selected,0,Room_Type 1,104,2019,6,28,Online,0,0,0,108,0,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,213,2018,6,7,Online,0,0,0,130,0,Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 1,69,2019,4,6,Corporate,0,0,0,85,0,Canceled
2,1,1,4,Meal Plan 1,0,Room_Type 1,35,2018,8,29,Online,0,0,0,127.62,0,Canceled
2,0,1,2,Not Selected,0,Room_Type 2,112,2018,3,21,Online,0,0,0,58.9,0,Not_Canceled
2,0,0,1,Meal Plan 2,0,Room_Type 4,46,2017,10,10,Offline,0,0,0,118.8,0,Not_Canceled
2,0,0,1,Not Selected,0,Room_Type 1,12,2019,5,30,Online,0,0,0,120,0,Not_Canceled
1,0,1,2,Meal Plan 1,0,Room_Type 1,64,2018,11,18,Online,0,0,0,96,3,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,5,2018,2,10,Corporate,1,2,19,66,1,Not_Canceled
2,0,0,4,Not Selected,0,Room_Type 1,18,2018,2,24,Online,0,0,0,79,1,Canceled
2,2,0,1,Meal Plan 1,0,Room_Type 6,276,2019,2,17,Online,0,0,0,153.9,0,Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 4,69,2018,4,18,Online,0,0,0,110.08,1,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,6,2018,11,24,Corporate,1,1,3,65,1,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,8,2018,7,28,Corporate,1,1,17,65,1,Not_Canceled
2,0,0,3,Not Selected,0,Room_Type 1,1,2017,9,29,Online,0,0,0,109.85,0,Not_Canceled
2,0,0,2,Not Selected,0,Room_Type 1,66,2019,5,17,Online,0,0,0,144,0,Canceled
2,0,2,0,Meal Plan 1,0,Room_Type 1,115,2019,5,7,Online,0,0,0,126,0,Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,47,2017,10,1,Online,0,0,0,103.05,2,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,87,2017,9,18,Online,0,0,0,89.25,1,Not_Canceled
2,0,1,1,Not Selected,0,Room_Type 1,36,2019,8,14,Online,0,0,0,140,0,Canceled
2,0,2,2,Not Selected,0,Room_Type 1,40,2019,4,9,Online,0,0,0,120,0,Not_Canceled
2,0,2,2,Meal Plan 2,0,Room_Type 1,169,2018,4,22,Online,0,0,0,106,0,Canceled
2,0,0,2,Not Selected,0,Room_Type 1,54,2018,11,11,Online,0,0,0,83.7,2,Not_Canceled
3,0,1,2,Meal Plan 1,0,Room_Type 4,18,2018,8,15,Online,0,0,0,191,0,Not_Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 5,36,2018,6,29,Online,0,0,0,110.8,0,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,199,2019,6,23,Offline,0,0,0,89.1,1,Not_Canceled
2,1,1,4,Meal Plan 1,0,Room_Type 1,27,2019,6,12,Online,0,0,0,149.4,2,Not_Canceled
2,0,1,3,Meal Plan 2,0,Room_Type 1,11,2018,3,3,Online,0,0,0,138,0,Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 4,172,2019,5,5,Online,0,0,0,130.5,3,Not_Canceled
2,0,0,1,Not Selected,0,Room_Type 1,30,2019,6,6,Online,0,0,0,96,1,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,74,2017,9,18,Offline,0,0,0,109,0,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,99,2017,10,30,Online,0,0,0,65,0,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,211,2018,5,20,Online,0,0,0,100,0,Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,6,2017,10,10,Offline,0,0,0,65,0,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,39,2018,3,4,Online,0,0,0,77.5,1,Not_Canceled
1,0,2,0,Meal Plan 1,0,Room_Type 1,5,2018,2,28,Corporate,1,0,2,66,0,Not_Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 1,116,2019,4,25,Online,0,0,0,121.5,1,Not_Canceled
3,0,2,1,Meal Plan 1,0,Room_Type 4,65,2019,3,25,Online,0,0,0,142.2,0,Not_Canceled
2,0,1,1,Meal Plan 2,0,Room_Type 1,301,2018,7,30,Online,0,0,0,115,1,Canceled
2,0,1,3,Meal Plan 2,0,Room_Type 1,228,2018,10,20,Online,0,0,0,123.25,3,Not_Canceled
3,0,1,1,Meal Plan 1,0,Room_Type 4,212,2018,10,17,Online,0,0,0,128.7,0,Canceled
1,0,0,5,Meal Plan 1,0,Room_Type 1,230,2018,9,6,Online,0,0,0,111,0,Canceled
2,0,2,3,Not Selected,0,Room_Type 1,40,2019,2,12,Online,0,0,0,74.8,0,Not_Canceled
2,0,2,7,Meal Plan 1,0,Room_Type 1,193,2018,7,13,Online,0,0,0,90.95,0,Canceled
2,0,2,5,Meal Plan 1,0,Room_Type 4,197,2018,8,16,Offline,0,0,0,82.45,2,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,66,2017,10,9,Offline,0,0,0,75,0,Not_Canceled
2,0,2,0,Meal Plan 2,0,Room_Type 1,2,2019,1,8,Online,0,0,0,135.5,0,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 4,239,2019,6,2,Online,0,0,0,138.6,1,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 2,246,2018,9,8,Online,0,0,0,81.77,1,Canceled
2,0,2,0,Meal Plan 1,0,Room_Type 1,0,2017,10,4,Online,0,0,0,126,0,Not_Canceled
1,0,2,3,Meal Plan 1,0,Room_Type 1,150,2019,6,17,Online,0,0,0,120,0,Canceled
3,0,0,3,Meal Plan 1,0,Room_Type 4,13,2018,12,6,Online,0,0,0,154,0,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,68,2019,4,21,Online,0,0,0,126,3,Not_Canceled
3,0,2,1,Meal Plan 1,0,Room_Type 4,172,2018,8,21,Online,0,0,0,107.1,1,Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 6,10,2017,8,29,Online,0,0,0,156,1,Canceled
2,1,1,3,Meal Plan 1,0,Room_Type 1,235,2018,10,27,Online,0,0,0,106.25,0,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 4,60,2018,3,3,Online,0,0,0,87.3,1,Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 5,11,2019,6,5,Online,0,0,0,186.67,0,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,143,2018,8,25,Offline,0,0,0,100,0,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,310,2019,4,23,Offline,0,0,0,83.75,0,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,120,2019,3,17,Online,0,0,0,93.6,2,Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,105,2018,5,22,Online,0,0,0,119.85,0,Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,98,2018,4,9,Online,0,0,0,86.7,1,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 4,16,2018,5,25,Offline,0,0,0,107,0,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 4,8,2017,10,18,Online,0,0,0,136,2,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 4,93,2019,5,6,Online,0,0,0,135,0,Canceled
1,0,2,2,Meal Plan 1,0,Room_Type 4,8,2018,5,28,Online,0,0,0,130.48,0,Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,55,2018,7,7,Corporate,0,0,0,79,0,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,207,2018,12,30,Offline,0,0,0,95,0,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,305,2018,11,4,Online,0,0,0,89,0,Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,83,2018,5,2,Offline,0,0,0,80.75,0,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,56,2018,11,23,Online,0,0,0,93.6,1,Canceled
2,2,1,3,Meal Plan 1,0,Room_Type 6,130,2019,4,6,Online,0,0,0,189,0,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 4,59,2017,11,19,Offline,0,0,0,60,0,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,144,2019,8,10,Online,0,0,0,130.5,2,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 4,65,2018,9,9,Online,0,0,0,149.4,1,Not_Canceled
1,2,1,2,Meal Plan 1,0,Room_Type 6,59,2018,10,7,Online,0,0,0,171.72,0,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,39,2018,12,27,Offline,0,0,0,65,1,Not_Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 1,6,2018,4,4,Online,0,0,0,61,1,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 4,63,2018,8,30,Online,0,0,0,174.6,1,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,219,2019,7,8,Online,0,0,0,107.1,0,Canceled
2,0,1,4,Not Selected,0,Room_Type 1,194,2019,7,17,Online,0,0,0,89.1,3,Not_Canceled
2,0,1,0,Meal Plan 1,0,Room_Type 1,3,2018,8,7,Online,0,0,0,121,1,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 4,106,2018,7,27,Offline,0,0,0,82.45,1,Not_Canceled
2,0,0,3,Meal Plan 2,0,Room_Type 1,27,2018,12,6,Online,0,0,0,142,1,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,10,2018,10,2,Offline,0,0,0,85,0,Not_Canceled
2,0,2,5,Meal Plan 1,0,Room_Type 2,108,2018,4,2,Online,0,0,0,74.89,0,Not_Canceled
2,0,1,0,Not Selected,1,Room_Type 1,14,2018,2,8,Online,0,0,0,90,1,Not_Canceled
1,0,1,2,Meal Plan 1,0,Room_Type 4,13,2019,6,12,Online,0,0,0,150,1,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 4,31,2018,10,7,Online,0,0,0,157.5,3,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,11,2019,6,20,Online,0,0,0,95,0,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 4,80,2017,10,9,Offline,0,0,0,136,0,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,36,2017,9,18,Offline,0,0,0,85,1,Not_Canceled
2,0,2,4,Meal Plan 1,0,Room_Type 1,122,2018,6,30,Online,0,0,0,98.03,0,Not_Canceled
2,0,1,3,Not Selected,0,Room_Type 1,137,2018,4,18,Online,0,0,0,80.75,1,Not_Canceled
2,0,1,0,Meal Plan 2,0,Room_Type 1,6,2019,2,13,Online,0,0,0,146,0,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,12,2019,7,25,Online,0,0,0,160,2,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,83,2019,3,30,Online,0,0,0,103.8,1,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,394,2019,5,16,Online,0,0,0,90,0,Canceled
1,0,0,4,Meal Plan 1,0,Room_Type 1,153,2019,6,21,Corporate,0,0,0,110,0,Canceled
2,1,0,4,Meal Plan 1,0,Room_Type 1,0,2018,2,23,Online,0,0,0,112,1,Not_Canceled
3,0,2,3,Meal Plan 2,0,Room_Type 4,35,2018,8,19,Online,0,0,0,219.6,0,Canceled
3,0,0,1,Meal Plan 1,0,Room_Type 4,63,2018,7,28,Online,0,0,0,137.7,2,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 4,72,2019,3,24,Offline,0,0,0,76.5,0,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,2,19,Corporate,0,0,0,80,0,Not_Canceled
2,0,0,1,Not Selected,0,Room_Type 1,15,2019,7,21,Online,0,0,0,98,3,Not_Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 4,20,2019,2,27,Online,0,0,0,100.3,0,Not_Canceled
2,1,2,1,Meal Plan 1,0,Room_Type 1,173,2018,9,10,Online,0,0,0,143.1,0,Canceled
1,0,0,1,Meal Plan 1,1,Room_Type 1,2,2018,4,20,Corporate,1,0,6,67,0,Not_Canceled
2,0,0,3,Not Selected,0,Room_Type 1,178,2019,7,18,Online,0,0,0,89.1,1,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,66,2017,10,9,Online,0,0,0,75,0,Canceled
2,0,1,3,Not Selected,0,Room_Type 1,33,2019,6,19,Online,0,0,0,130,1,Not_Canceled
2,0,2,3,Not Selected,0,Room_Type 1,90,2018,12,24,Online,0,0,0,74.8,1,Not_Canceled
3,0,0,4,Meal Plan 1,0,Room_Type 4,5,2019,8,22,Online,0,0,0,155.61,2,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,127,2019,6,16,Online,0,0,0,117,2,Canceled
3,0,2,3,Meal Plan 1,0,Room_Type 4,49,2018,8,20,Online,0,0,0,168.3,1,Canceled
2,0,1,1,Meal Plan 1,1,Room_Type 2,268,2018,8,6,Online,0,0,0,105.25,1,Canceled
2,2,2,2,Meal Plan 1,0,Room_Type 6,209,2019,8,12,Online,0,0,0,202.5,1,Canceled
1,0,1,0,Meal Plan 1,0,Room_Type 1,0,2019,6,4,Offline,1,0,2,65,3,Not_Canceled
2,0,1,0,Not Selected,0,Room_Type 1,272,2019,7,10,Online,0,0,0,89.1,1,Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,99,2019,5,14,Online,0,0,0,135,3,Not_Canceled
2,2,0,3,Meal Plan 1,0,Room_Type 6,50,2018,8,30,Online,0,0,0,181.8,0,Not_Canceled
1,0,0,2,Meal Plan 2,0,Room_Type 1,63,2017,9,4,Offline,0,0,0,80.5,0,Not_Canceled
3,0,1,3,Meal Plan 1,0,Room_Type 4,102,2019,3,23,Online,0,0,0,134.3,2,Canceled
1,0,5,15,Not Selected,0,Room_Type 1,90,2017,7,7,Online,0,0,0,48.6,0,Canceled
1,0,1,1,Meal Plan 1,0,Room_Type 1,91,2018,10,3,Online,0,0,0,113.4,2,Not_Canceled
